,Business Type,Power System Resource  Type,Settlement Date,Settlement Period,Quantity ,Resolution
326,Solar generation,Solar,2015-01-17,22,420.0,PT30M
327,Wind generation,Wind Onshore,2015-01-17,23,1432.0,PT30M
328,Solar generation,Solar,2015-01-17,23,555.0,PT30M
329,Wind generation,Wind Offshore,2015-01-17,23,2945.0,PT30M
330,Wind generation,Wind Offshore,2015-01-17,34,2361.0,PT30M
331,Wind generation,Wind Onshore,2015-01-17,34,1185.0,PT30M
332,Solar generation,Solar,2015-01-17,34,125.0,PT30M
333,Wind generation,Wind Offshore,2015-01-17,35,2230.0,PT30M
334,Wind generation,Wind Onshore,2015-01-17,35,1094.0,PT30M
335,Solar generation,Solar,2015-01-17,35,22.0,PT30M
336,Wind generation,Wind Offshore,2015-01-17,47,1036.0,PT30M
337,Wind generation,Wind Onshore,2015-01-17,47,891.0,PT30M
338,Solar generation,Solar,2015-01-17,47,0.0,PT30M
339,Wind generation,Wind Offshore,2015-01-17,48,761.0,PT30M
340,Wind generation,Wind Onshore,2015-01-17,48,882.0,PT30M
341,Solar generation,Solar,2015-01-17,48,0.0,PT30M
342,Wind generation,Wind Offshore,2015-01-18,11,210.0,PT30M
343,Wind generation,Wind Onshore,2015-01-18,11,1549.0,PT30M
344,Solar generation,Solar,2015-01-18,11,0.0,PT30M
345,Wind generation,Wind Offshore,2015-01-18,31,1577.0,PT30M
346,Wind generation,Wind Onshore,2015-01-18,31,2325.0,PT30M
347,Solar generation,Solar,2015-01-18,31,691.0,PT30M
348,Wind generation,Wind Offshore,2015-01-18,32,1677.0,PT30M
349,Wind generation,Wind Onshore,2015-01-18,32,2277.0,PT30M
350,Solar generation,Solar,2015-01-18,32,500.0,PT30M
351,Wind generation,Wind Offshore,2015-01-19,18,267.0,PT30M
352,Wind generation,Wind Onshore,2015-01-19,18,256.0,PT30M
353,Solar generation,Solar,2015-01-19,18,39.0,PT30M
354,Wind generation,Wind Offshore,2015-01-19,19,223.0,PT30M
355,Wind generation,Wind Onshore,2015-01-19,19,201.0,PT30M
356,Solar generation,Solar,2015-01-19,19,59.0,PT30M
357,Wind generation,Wind Offshore,2015-01-19,29,58.0,PT30M
358,Wind generation,Wind Onshore,2015-01-19,29,106.0,PT30M
359,Solar generation,Solar,2015-01-19,29,882.0,PT30M
360,Wind generation,Wind Offshore,2015-01-20,1,68.0,PT30M
361,Wind generation,Wind Onshore,2015-01-20,1,480.0,PT30M
362,Solar generation,Solar,2015-01-20,1,0.0,PT30M
363,Solar generation,Solar,2015-01-20,12,0.0,PT30M
364,Wind generation,Wind Offshore,2015-01-20,12,261.0,PT30M
365,Wind generation,Wind Onshore,2015-01-20,12,607.0,PT30M
366,Wind generation,Wind Offshore,2015-01-20,33,1080.0,PT30M
367,Wind generation,Wind Onshore,2015-01-20,33,1585.0,PT30M
368,Solar generation,Solar,2015-01-20,33,232.0,PT30M
369,Wind generation,Wind Offshore,2015-01-21,1,2533.0,PT30M
370,Wind generation,Wind Onshore,2015-01-21,1,1315.0,PT30M
371,Solar generation,Solar,2015-01-21,1,0.0,PT30M
372,Wind generation,Wind Offshore,2015-01-21,21,1149.0,PT30M
373,Wind generation,Wind Onshore,2015-01-21,21,719.0,PT30M
374,Solar generation,Solar,2015-01-21,21,122.0,PT30M
375,Wind generation,Wind Offshore,2015-01-21,41,335.0,PT30M
376,Wind generation,Wind Onshore,2015-01-21,41,415.0,PT30M
377,Solar generation,Solar,2015-01-21,41,0.0,PT30M
378,Wind generation,Wind Offshore,2015-01-22,8,437.0,PT30M
379,Wind generation,Wind Onshore,2015-01-22,8,380.0,PT30M
380,Solar generation,Solar,2015-01-22,8,0.0,PT30M
381,Wind generation,Wind Offshore,2015-01-22,27,372.0,PT30M
382,Wind generation,Wind Onshore,2015-01-22,27,507.0,PT30M
383,Solar generation,Solar,2015-01-22,27,860.0,PT30M
384,Wind generation,Wind Offshore,2015-01-22,28,353.0,PT30M
385,Wind generation,Wind Onshore,2015-01-22,28,484.0,PT30M
386,Solar generation,Solar,2015-01-22,28,800.0,PT30M
387,Wind generation,Wind Offshore,2015-01-22,33,487.0,PT30M
388,Wind generation,Wind Onshore,2015-01-22,33,726.0,PT30M
389,Solar generation,Solar,2015-01-22,33,266.0,PT30M
390,Wind generation,Wind Offshore,2015-01-22,38,550.0,PT30M
