,Business Type,Power System Resource  Type,Settlement Date,Settlement Period,Quantity,Resolution
238,Wind generation,Wind Offshore,2015-01-02,32,3541.2870000000003,PT30M
239,Wind generation,Wind Onshore,2015-01-02,32,4816.431,PT30M
240,Solar generation,Solar,2015-01-02,33,0.0,PT30M
241,Wind generation,Wind Offshore,2015-01-02,33,3408.143,PT30M
242,Wind generation,Wind Onshore,2015-01-02,33,4691.295999999999,PT30M
243,Solar generation,Solar,2015-01-02,34,0.0,PT30M
244,Wind generation,Wind Offshore,2015-01-02,34,3408.143,PT30M
245,Wind generation,Wind Onshore,2015-01-02,34,4691.295999999999,PT30M
246,Solar generation,Solar,2015-01-02,35,0.0,PT30M
247,Wind generation,Wind Offshore,2015-01-02,35,3259.078,PT30M
248,Wind generation,Wind Onshore,2015-01-02,35,4591.154,PT30M
249,Solar generation,Solar,2015-01-02,36,0.0,PT30M
250,Wind generation,Wind Offshore,2015-01-02,36,3259.078,PT30M
251,Wind generation,Wind Onshore,2015-01-02,36,4591.154,PT30M
252,Solar generation,Solar,2015-01-02,37,0.0,PT30M
253,Wind generation,Wind Offshore,2015-01-02,37,3087.953,PT30M
254,Wind generation,Wind Onshore,2015-01-02,37,4499.014,PT30M
255,Solar generation,Solar,2015-01-02,38,0.0,PT30M
256,Wind generation,Wind Offshore,2015-01-02,38,3087.953,PT30M
257,Wind generation,Wind Onshore,2015-01-02,38,4499.014,PT30M
258,Solar generation,Solar,2015-01-02,39,0.0,PT30M
259,Wind generation,Wind Offshore,2015-01-02,39,3028.6409999999996,PT30M
260,Wind generation,Wind Onshore,2015-01-02,39,4592.037,PT30M
261,Solar generation,Solar,2015-01-02,40,0.0,PT30M
262,Wind generation,Wind Offshore,2015-01-02,40,3028.6409999999996,PT30M
263,Wind generation,Wind Onshore,2015-01-02,40,4592.037,PT30M
264,Solar generation,Solar,2015-01-02,41,0.0,PT30M
265,Wind generation,Wind Offshore,2015-01-02,41,2992.028,PT30M
266,Wind generation,Wind Onshore,2015-01-02,41,4598.826,PT30M
267,Solar generation,Solar,2015-01-02,42,0.0,PT30M
268,Wind generation,Wind Offshore,2015-01-02,42,2992.028,PT30M
269,Wind generation,Wind Onshore,2015-01-02,42,4598.826,PT30M
270,Solar generation,Solar,2015-01-02,43,0.0,PT30M
271,Wind generation,Wind Offshore,2015-01-02,43,2959.7090000000003,PT30M
272,Wind generation,Wind Onshore,2015-01-02,43,4542.419,PT30M
273,Solar generation,Solar,2015-01-02,44,0.0,PT30M
274,Wind generation,Wind Offshore,2015-01-02,44,2959.7090000000003,PT30M
275,Wind generation,Wind Onshore,2015-01-02,44,4542.419,PT30M
276,Solar generation,Solar,2015-01-02,45,0.0,PT30M
277,Wind generation,Wind Offshore,2015-01-02,45,2858.192,PT30M
278,Wind generation,Wind Onshore,2015-01-02,45,4399.499,PT30M
279,Solar generation,Solar,2015-01-02,46,0.0,PT30M
280,Wind generation,Wind Offshore,2015-01-02,46,2858.192,PT30M
281,Wind generation,Wind Onshore,2015-01-02,46,4399.499,PT30M
282,Solar generation,Solar,2015-01-02,47,0.0,PT30M
283,Wind generation,Wind Offshore,2015-01-02,47,2746.7270000000003,PT30M
284,Wind generation,Wind Onshore,2015-01-02,47,4205.198,PT30M
285,Solar generation,Solar,2015-01-02,48,0.0,PT30M
286,Wind generation,Wind Offshore,2015-01-02,48,2746.7270000000003,PT30M
287,Wind generation,Wind Onshore,2015-01-02,48,4205.198,PT30M
288,Solar generation,Solar,2015-01-03,1,0.0,PT30M
289,Wind generation,Wind Offshore,2015-01-03,1,2821.56,PT30M
290,Wind generation,Wind Onshore,2015-01-03,1,4250.944,PT30M
291,Solar generation,Solar,2015-01-03,2,0.0,PT30M
292,Wind generation,Wind Offshore,2015-01-03,2,2821.56,PT30M
293,Wind generation,Wind Onshore,2015-01-03,2,4250.944,PT30M
294,Solar generation,Solar,2015-01-03,3,0.0,PT30M
295,Wind generation,Wind Offshore,2015-01-03,3,2725.218,PT30M
296,Wind generation,Wind Onshore,2015-01-03,3,4025.8709999999996,PT30M
297,Solar generation,Solar,2015-01-03,4,0.0,PT30M
298,Wind generation,Wind Offshore,2015-01-03,4,2725.218,PT30M
299,Wind generation,Wind Onshore,2015-01-03,4,4025.8709999999996,PT30M
300,Solar generation,Solar,2015-01-03,5,0.0,PT30M
301,Wind generation,Wind Offshore,2015-01-03,5,2610.528,PT30M
302,Wind generation,Wind Onshore,2015-01-03,5,3801.059,PT30M
303,Solar generation,Solar,2015-01-03,6,0.0,PT30M
304,Wind generation,Wind Offshore,2015-01-03,6,2610.528,PT30M
305,Wind generation,Wind Onshore,2015-01-03,6,3801.059,PT30M
306,Solar generation,Solar,2015-01-03,7,0.0,PT30M
307,Wind generation,Wind Offshore,2015-01-03,7,2433.413,PT30M
308,Wind generation,Wind Onshore,2015-01-03,7,3438.9570000000003,PT30M
309,Solar generation,Solar,2015-01-03,8,0.0,PT30M
310,Wind generation,Wind Offshore,2015-01-03,8,2433.413,PT30M
311,Wind generation,Wind Onshore,2015-01-03,8,3438.9570000000003,PT30M
312,Solar generation,Solar,2015-01-03,9,0.0,PT30M
313,Wind generation,Wind Offshore,2015-01-03,9,2041.25,PT30M
314,Wind generation,Wind Onshore,2015-01-03,9,2905.3179999999998,PT30M
315,Solar generation,Solar,2015-01-03,10,0.0,PT30M
316,Wind generation,Wind Offshore,2015-01-03,10,2041.25,PT30M
317,Wind generation,Wind Onshore,2015-01-03,10,2905.3179999999998,PT30M
318,Solar generation,Solar,2015-01-03,11,0.0,PT30M
319,Wind generation,Wind Offshore,2015-01-03,11,1576.366,PT30M
320,Wind generation,Wind Onshore,2015-01-03,11,2344.268,PT30M
321,Solar generation,Solar,2015-01-03,12,0.0,PT30M
322,Wind generation,Wind Offshore,2015-01-03,12,1576.366,PT30M
323,Wind generation,Wind Onshore,2015-01-03,12,2344.268,PT30M
324,Solar generation,Solar,2015-01-03,13,0.0,PT30M
325,Wind generation,Wind Offshore,2015-01-03,13,1209.911,PT30M
326,Wind generation,Wind Onshore,2015-01-03,13,1885.892,PT30M
327,Solar generation,Solar,2015-01-03,14,0.0,PT30M
328,Wind generation,Wind Offshore,2015-01-03,14,1209.911,PT30M
329,Wind generation,Wind Onshore,2015-01-03,14,1885.892,PT30M
330,Solar generation,Solar,2015-01-03,15,0.0,PT30M
331,Wind generation,Wind Offshore,2015-01-03,15,1007.367,PT30M
332,Wind generation,Wind Onshore,2015-01-03,15,1618.366,PT30M
333,Solar generation,Solar,2015-01-03,16,0.0,PT30M
334,Wind generation,Wind Offshore,2015-01-03,16,1007.367,PT30M
335,Wind generation,Wind Onshore,2015-01-03,16,1618.366,PT30M
336,Solar generation,Solar,2015-01-03,17,3.0,PT30M
337,Wind generation,Wind Offshore,2015-01-03,17,810.3330000000001,PT30M
338,Wind generation,Wind Onshore,2015-01-03,17,1443.079,PT30M
339,Solar generation,Solar,2015-01-03,18,7.0,PT30M
340,Wind generation,Wind Offshore,2015-01-03,18,810.3330000000001,PT30M
341,Wind generation,Wind Onshore,2015-01-03,18,1443.079,PT30M
342,Solar generation,Solar,2015-01-03,19,10.0,PT30M
343,Wind generation,Wind Offshore,2015-01-03,19,696.815,PT30M
344,Wind generation,Wind Onshore,2015-01-03,19,1312.922,PT30M
345,Solar generation,Solar,2015-01-03,20,43.0,PT30M
346,Wind generation,Wind Offshore,2015-01-03,20,696.815,PT30M
347,Wind generation,Wind Onshore,2015-01-03,20,1312.922,PT30M
348,Solar generation,Solar,2015-01-03,21,76.0,PT30M
349,Wind generation,Wind Offshore,2015-01-03,21,644.308,PT30M
350,Wind generation,Wind Onshore,2015-01-03,21,1187.307,PT30M
351,Solar generation,Solar,2015-01-03,22,110.0,PT30M
352,Wind generation,Wind Offshore,2015-01-03,22,644.308,PT30M
353,Wind generation,Wind Onshore,2015-01-03,22,1187.307,PT30M
354,Solar generation,Solar,2015-01-03,23,143.0,PT30M
355,Wind generation,Wind Offshore,2015-01-03,23,637.081,PT30M
356,Wind generation,Wind Onshore,2015-01-03,23,1107.215,PT30M
357,Solar generation,Solar,2015-01-03,24,176.0,PT30M
358,Wind generation,Wind Offshore,2015-01-03,24,637.081,PT30M
359,Wind generation,Wind Onshore,2015-01-03,24,1107.215,PT30M
360,Solar generation,Solar,2015-01-03,25,209.0,PT30M
361,Wind generation,Wind Offshore,2015-01-03,25,583.979,PT30M
362,Wind generation,Wind Onshore,2015-01-03,25,1057.681,PT30M
363,Solar generation,Solar,2015-01-03,26,207.0,PT30M
364,Wind generation,Wind Offshore,2015-01-03,26,583.979,PT30M
365,Wind generation,Wind Onshore,2015-01-03,26,1057.681,PT30M
366,Solar generation,Solar,2015-01-03,27,205.0,PT30M
367,Wind generation,Wind Offshore,2015-01-03,27,468.898,PT30M
368,Wind generation,Wind Onshore,2015-01-03,27,1151.2839999999999,PT30M
369,Solar generation,Solar,2015-01-03,28,203.0,PT30M
370,Wind generation,Wind Offshore,2015-01-03,28,468.898,PT30M
371,Wind generation,Wind Onshore,2015-01-03,28,1151.2839999999999,PT30M
372,Solar generation,Solar,2015-01-03,29,201.0,PT30M
373,Wind generation,Wind Offshore,2015-01-03,29,443.745,PT30M
374,Wind generation,Wind Onshore,2015-01-03,29,1263.651,PT30M
375,Solar generation,Solar,2015-01-03,30,199.0,PT30M
376,Wind generation,Wind Offshore,2015-01-03,30,443.745,PT30M
377,Wind generation,Wind Onshore,2015-01-03,30,1263.651,PT30M
378,Solar generation,Solar,2015-01-03,31,197.0,PT30M
379,Wind generation,Wind Offshore,2015-01-03,31,495.0,PT30M
380,Wind generation,Wind Onshore,2015-01-03,31,1365.1070000000002,PT30M
381,Solar generation,Solar,2015-01-03,32,149.0,PT30M
382,Wind generation,Wind Offshore,2015-01-03,32,495.0,PT30M
383,Wind generation,Wind Onshore,2015-01-03,32,1365.1070000000002,PT30M
384,Solar generation,Solar,2015-01-03,33,101.0,PT30M
385,Wind generation,Wind Offshore,2015-01-03,33,774.8939999999999,PT30M
386,Wind generation,Wind Onshore,2015-01-03,33,1414.5970000000002,PT30M
387,Solar generation,Solar,2015-01-03,34,53.0,PT30M
388,Wind generation,Wind Offshore,2015-01-03,34,774.8939999999999,PT30M
389,Wind generation,Wind Onshore,2015-01-03,34,1414.5970000000002,PT30M
390,Solar generation,Solar,2015-01-03,35,5.0,PT30M
391,Wind generation,Wind Offshore,2015-01-03,35,1050.275,PT30M
392,Wind generation,Wind Onshore,2015-01-03,35,1465.622,PT30M
393,Solar generation,Solar,2015-01-03,36,0.0,PT30M
394,Wind generation,Wind Offshore,2015-01-03,36,1050.275,PT30M
395,Wind generation,Wind Onshore,2015-01-03,36,1465.622,PT30M
396,Solar generation,Solar,2015-01-03,37,0.0,PT30M
397,Wind generation,Wind Offshore,2015-01-03,37,1330.3039999999999,PT30M
398,Wind generation,Wind Onshore,2015-01-03,37,1503.7220000000002,PT30M
399,Solar generation,Solar,2015-01-03,38,0.0,PT30M
400,Wind generation,Wind Offshore,2015-01-03,38,1330.3039999999999,PT30M
401,Wind generation,Wind Onshore,2015-01-03,38,1503.7220000000002,PT30M
402,Solar generation,Solar,2015-01-03,39,0.0,PT30M
403,Wind generation,Wind Offshore,2015-01-03,39,1281.7930000000001,PT30M
404,Wind generation,Wind Onshore,2015-01-03,39,1480.305,PT30M
405,Solar generation,Solar,2015-01-03,40,0.0,PT30M
