,RecordType,SettlementDate,SettlementPeriod,Zone,TimePublished,Quantity
2,DANF,20150112,3,N,20150112004700,27143
3,DANF,20150112,4,N,20150112011700,26497
4,DANF,20150112,5,N,20150112014700,25867
5,DANF,20150112,6,N,20150112021700,25813
6,DANF,20150112,7,N,20150112024800,25195
7,DANF,20150112,8,N,20150112031700,24688
8,DANF,20150112,9,N,20150112034700,24353
9,DANF,20150112,10,N,20150112041700,24300
10,DANF,20150112,11,N,20150112044700,25053
11,DANF,20150112,12,N,20150112051700,26251
12,DANF,20150112,13,N,20150112054700,29644
13,DANF,20150112,14,N,20150112061700,32984
14,DANF,20150112,15,N,20150112093800,36948
15,DANF,20150112,16,N,20150112094400,39372
16,DANF,20150112,17,N,20150112095000,40607
17,DANF,20150112,18,N,20150112095600,41089
18,DANF,20150112,19,N,20150112095600,41924
19,DANF,20150112,20,N,20150112100300,42441
20,DANF,20150112,21,N,20150112100300,42500
21,DANF,20150112,22,N,20150112101600,42706
22,DANF,20150112,23,N,20150112104600,42909
23,DANF,20150112,24,N,20150112111600,43023
24,DANF,20150112,25,N,20150112114800,43365
25,DANF,20150112,26,N,20150112121700,43400
26,DANF,20150112,27,N,20150112124700,43400
27,DANF,20150112,28,N,20150112132300,43406
28,DANF,20150112,29,N,20150112134700,43612
29,DANF,20150112,30,N,20150112141700,43429
30,DANF,20150112,31,N,20150112144700,43464
31,DANF,20150112,32,N,20150112151700,44373
32,DANF,20150112,33,N,20150112154700,46385
33,DANF,20150112,34,N,20150112161700,48667
34,DANF,20150112,35,N,20150112164700,49600
35,DANF,20150112,36,N,20150112171700,49353
36,DANF,20150112,37,N,20150112174700,48647
37,DANF,20150112,38,N,20150112181700,47702
38,DANF,20150112,39,N,20150112184700,46787
39,DANF,20150112,40,N,20150112191700,45221
40,DANF,20150112,41,N,20150112194700,43878
41,DANF,20150112,42,N,20150112201700,42200
42,DANF,20150112,43,N,20150112204700,40377
43,DANF,20150112,44,N,20150112211700,37963
44,DANF,20150112,45,N,20150112214700,35951
45,DANF,20150112,46,N,20150112221700,33895
46,DANF,20150112,47,N,20150112224700,31496
47,DANF,20150112,48,N,20150112231700,30000
0,DANF,20150113,1,N,20150112234700,30100
1,DANF,20150113,2,N,20150113001700,29700
2,DANF,20150113,3,N,20150113004700,29555
3,DANF,20150113,4,N,20150113011700,28830
4,DANF,20150113,5,N,20150113014700,28220
5,DANF,20150113,6,N,20150113021700,28111
6,DANF,20150113,7,N,20150113024700,27708
7,DANF,20150113,8,N,20150113031700,27099
8,DANF,20150113,9,N,20150113034700,26708
9,DANF,20150113,10,N,20150113041700,26700
10,DANF,20150113,11,N,20150113044700,27423
11,DANF,20150113,12,N,20150113051700,28523
12,DANF,20150113,13,N,20150113054600,31579
13,DANF,20150113,14,N,20150113061700,34974
14,DANF,20150113,15,N,20150113064600,39123
15,DANF,20150113,16,N,20150113071600,41441
16,DANF,20150113,17,N,20150113074600,42488
17,DANF,20150113,18,N,20150113081600,42275
18,DANF,20150113,19,N,20150113081600,42828
19,DANF,20150113,20,N,20150113091600,43052
20,DANF,20150113,21,N,20150113094600,43100
21,DANF,20150113,22,N,20150113101600,43221
22,DANF,20150113,23,N,20150113104600,43172
23,DANF,20150113,24,N,20150113111600,43049
24,DANF,20150113,25,N,20150113114800,43300
25,DANF,20150113,26,N,20150113121800,42825
